"Variable" "Description"
"MeanOf.Time.Body.Acc.Mean.Z" "The mean of the Z acceleration from an accelerometer signal related to body motion"
"MeanOf.Time.Body.Acc.Std.X" "The standard deviation of the X acceleration from an accelerometer signal related to body motion"
"MeanOf.Time.Body.Acc.Std.Y" "The standard deviation of the Y acceleration from an accelerometer signal related to body motion"
"MeanOf.Time.Body.Acc.Std.Z" "The standard deviation of the Z acceleration from an accelerometer signal related to body motion"
"MeanOf.Time.Body.Gyro.Jerk.Mag.Mean" "The mean of the resultant XYZ jerk from a gyroscope signal related to body motion"
"MeanOf.Time.Body.Gyro.Jerk.Mag.Std" "The standard deviation of the resultant XYZ jerk from a gyroscope signal related to body motion"
"MeanOf.Time.Body.Gyro.Jerk.Mean.X" "The mean of the X jerk from a gyroscope signal related to body motion"
"MeanOf.Time.Body.Gyro.Jerk.Mean.Y" "The mean of the Y jerk from a gyroscope signal related to body motion"
"MeanOf.Time.Body.Gyro.Jerk.Mean.Z" "The mean of the Z jerk from a gyroscope signal related to body motion"
"MeanOf.Time.Body.Gyro.Jerk.Std.X" "The standard deviation of the X jerk from a gyroscope signal related to body motion"
"MeanOf.Time.Body.Gyro.Jerk.Std.Y" "The standard deviation of the Y jerk from a gyroscope signal related to body motion"
"MeanOf.Time.Body.Gyro.Jerk.Std.Z" "The standard deviation of the Z jerk from a gyroscope signal related to body motion"
"MeanOf.Time.Body.Gyro.Mag.Mean" "The mean of the resultant XYZ angular velocity from a gyroscope signal related to body motion"
"MeanOf.Time.Body.Gyro.Mag.Std" "The standard deviation of the resultant XYZ angular velocity from a gyroscope signal related to body motion"
"MeanOf.Time.Body.Gyro.Mean.X" "The mean of the X angular velocity from a gyroscope signal related to body motion"
"MeanOf.Time.Body.Gyro.Mean.Y" "The mean of the Y angular velocity from a gyroscope signal related to body motion"
"MeanOf.Time.Body.Gyro.Mean.Z" "The mean of the Z angular velocity from a gyroscope signal related to body motion"
"MeanOf.Time.Body.Gyro.Std.X" "The standard deviation of the X angular velocity from a gyroscope signal related to body motion"
"MeanOf.Time.Body.Gyro.Std.Y" "The standard deviation of the Y angular velocity from a gyroscope signal related to body motion"
"MeanOf.Time.Body.Gyro.Std.Z" "The standard deviation of the Z angular velocity from a gyroscope signal related to body motion"
"MeanOf.Time.Gravity.Acc.Mag.Mean" "The mean of the resultant XYZ acceleration from an accelerometer signal related gravity"
"MeanOf.Time.Gravity.Acc.Mag.Std" "The standard deviation of the resultant XYZ acceleration from an accelerometer signal related gravity"
"MeanOf.Time.Gravity.Acc.Mean.X" "The mean of the X acceleration from an accelerometer signal related gravity"
"MeanOf.Time.Gravity.Acc.Mean.Y" "The mean of the Y acceleration from an accelerometer signal related gravity"
"MeanOf.Time.Gravity.Acc.Mean.Z" "The mean of the Z acceleration from an accelerometer signal related gravity"
"MeanOf.Time.Gravity.Acc.Std.X" "The standard deviation of the X acceleration from an accelerometer signal related gravity"
"MeanOf.Time.Gravity.Acc.Std.Y" "The standard deviation of the Y acceleration from an accelerometer signal related gravity"
"MeanOf.Time.Gravity.Acc.Std.Z" "The standard deviation of the Z acceleration from an accelerometer signal related gravity"
"Subject" ""
